"BehaviorSpace results (NetLogo 6.1.0)"
"diffusion-model-7.nlogo"
"social-influence-experiment"
"08/04/2019 23:24:04:269 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","network-density","num-agents","network-type","social-influence","broadcast-influence","fraction-influencers","influencers-weight","[step]","count turtles with [ adopted > 0 ]","count turtles with [ adopted = 1 ]","count influencers with [ adopted > 0 ]","count influencers with [ adopted = 1 ]","count followers with [ adopted > 0 ]","count followers with [ adopted = 1 ]"
"6","0.1","300","random","0","10","0.1","0.7","24","283","0","30","0","253","0"
"2","0.1","300","random","0","10","0.1","0.7","19","255","0","27","0","228","0"
"5","0.1","300","random","0","10","0.1","0.7","19","259","0","25","0","234","0"
"8","0.1","300","random","0","10","0.1","0.7","21","283","0","26","0","257","0"
"1","0.1","300","random","0","10","0.1","0.7","25","274","0","29","0","245","0"
"4","0.1","300","random","0","10","0.1","0.7","24","279","0","29","0","250","0"
"3","0.1","300","random","0","10","0.1","0.7","23","273","0","25","0","248","0"
"6","0.1","300","random","0","10","0.1","0.7","25","286","0","30","0","256","0"
"8","0.1","300","random","0","10","0.1","0.7","22","284","0","26","0","258","0"
"4","0.1","300","random","0","10","0.1","0.7","25","280","0","29","0","251","0"
"1","0.1","300","random","0","10","0.1","0.7","26","276","0","29","0","247","0"
"2","0.1","300","random","0","10","0.1","0.7","20","259","0","27","0","232","0"
"3","0.1","300","random","0","10","0.1","0.7","24","275","0","27","0","248","0"
"5","0.1","300","random","0","10","0.1","0.7","20","267","0","26","0","241","0"
"6","0.1","300","random","0","10","0.1","0.7","26","287","0","30","0","257","0"
"4","0.1","300","random","0","10","0.1","0.7","26","280","0","29","0","251","0"
"1","0.1","300","random","0","10","0.1","0.7","27","278","0","29","0","249","0"
"7","0.1","300","random","0","10","0.1","0.7","18","248","0","26","0","222","0"
"3","0.1","300","random","0","10","0.1","0.7","25","278","0","27","0","251","0"
"6","0.1","300","random","0","10","0.1","0.7","27","290","0","30","0","260","0"
"5","0.1","300","random","0","10","0.1","0.7","21","268","0","26","0","242","0"
"4","0.1","300","random","0","10","0.1","0.7","27","283","0","29","0","254","0"
"1","0.1","300","random","0","10","0.1","0.7","28","280","0","29","0","251","0"
"2","0.1","300","random","0","10","0.1","0.7","21","261","0","27","0","234","0"
"8","0.1","300","random","0","10","0.1","0.7","23","285","0","26","0","259","0"
"7","0.1","300","random","0","10","0.1","0.7","19","252","0","26","0","226","0"
"5","0.1","300","random","0","10","0.1","0.7","22","272","0","26","0","246","0"
"2","0.1","300","random","0","10","0.1","0.7","22","268","0","27","0","241","0"
"8","0.1","300","random","0","10","0.1","0.7","24","286","0","26","0","260","0"
"4","0.1","300","random","0","10","0.1","0.7","28","283","0","29","0","254","0"
"5","0.1","300","random","0","10","0.1","0.7","23","274","0","26","0","248","0"
"7","0.1","300","random","0","10","0.1","0.7","20","261","0","26","0","235","0"
"2","0.1","300","random","0","10","0.1","0.7","23","271","0","28","0","243","0"
"8","0.1","300","random","0","10","0.1","0.7","25","287","0","27","0","260","0"
"6","0.1","300","random","0","10","0.1","0.7","28","290","0","30","0","260","0"
"4","0.1","300","random","0","10","0.1","0.7","29","285","0","29","0","256","0"
"5","0.1","300","random","0","10","0.1","0.7","24","276","0","27","0","249","0"
"2","0.1","300","random","0","10","0.1","0.7","24","274","0","28","0","246","0"
"8","0.1","300","random","0","10","0.1","0.7","26","289","0","28","0","261","0"
"7","0.1","300","random","0","10","0.1","0.7","21","263","0","26","0","237","0"
"3","0.1","300","random","0","10","0.1","0.7","26","280","0","27","0","253","0"
"1","0.1","300","random","0","10","0.1","0.7","29","280","0","29","0","251","0"
"4","0.1","300","random","0","10","0.1","0.7","30","288","0","30","0","258","0"
"6","0.1","300","random","0","10","0.1","0.7","29","292","0","30","0","262","0"
"5","0.1","300","random","0","10","0.1","0.7","25","277","0","27","0","250","0"
"2","0.1","300","random","0","10","0.1","0.7","25","275","0","28","0","247","0"
"8","0.1","300","random","0","10","0.1","0.7","27","289","0","28","0","261","0"
"7","0.1","300","random","0","10","0.1","0.7","22","267","0","26","0","241","0"
"5","0.1","300","random","0","10","0.1","0.7","26","279","0","27","0","252","0"
"2","0.1","300","random","0","10","0.1","0.7","26","276","0","28","0","248","0"
"8","0.1","300","random","0","10","0.1","0.7","28","291","0","28","0","263","0"
"7","0.1","300","random","0","10","0.1","0.7","23","274","0","28","0","246","0"
"4","0.1","300","random","0","10","0.1","0.7","31","289","0","30","0","259","0"
"5","0.1","300","random","0","10","0.1","0.7","27","279","0","27","0","252","0"
"2","0.1","300","random","0","10","0.1","0.7","27","278","0","28","0","250","0"
"3","0.1","300","random","0","10","0.1","0.7","27","281","0","27","0","254","0"
"8","0.1","300","random","0","10","0.1","0.7","29","291","0","28","0","263","0"
"1","0.1","300","random","0","10","0.1","0.7","30","282","0","29","0","253","0"
"6","0.1","300","random","0","10","0.1","0.7","30","292","0","30","0","262","0"
"7","0.1","300","random","0","10","0.1","0.7","24","276","0","28","0","248","0"
"5","0.1","300","random","0","10","0.1","0.7","28","282","0","27","0","255","0"
"2","0.1","300","random","0","10","0.1","0.7","28","281","0","28","0","253","0"
"8","0.1","300","random","0","10","0.1","0.7","30","292","0","28","0","264","0"
"7","0.1","300","random","0","10","0.1","0.7","25","279","0","28","0","251","0"
"3","0.1","300","random","0","10","0.1","0.7","28","283","0","27","0","256","0"
"1","0.1","300","random","0","10","0.1","0.7","31","283","0","29","0","254","0"
"6","0.1","300","random","0","10","0.1","0.7","31","293","0","30","0","263","0"
"5","0.1","300","random","0","10","0.1","0.7","29","284","0","27","0","257","0"
"2","0.1","300","random","0","10","0.1","0.7","29","287","0","29","0","258","0"
"8","0.1","300","random","0","10","0.1","0.7","31","294","0","28","0","266","0"
"7","0.1","300","random","0","10","0.1","0.7","26","283","0","29","0","254","0"
"1","0.1","300","random","0","10","0.1","0.7","32","284","0","30","0","254","0"
"6","0.1","300","random","0","10","0.1","0.7","32","293","0","30","0","263","0"
"3","0.1","300","random","0","10","0.1","0.7","29","284","0","27","0","257","0"
"5","0.1","300","random","0","10","0.1","0.7","30","288","0","28","0","260","0"
"2","0.1","300","random","0","10","0.1","0.7","30","290","0","30","0","260","0"
"8","0.1","300","random","0","10","0.1","0.7","32","294","0","28","0","266","0"
"7","0.1","300","random","0","10","0.1","0.7","27","284","0","29","0","255","0"
"1","0.1","300","random","0","10","0.1","0.7","33","285","0","30","0","255","0"
"6","0.1","300","random","0","10","0.1","0.7","33","293","0","30","0","263","0"
"3","0.1","300","random","0","10","0.1","0.7","30","284","0","27","0","257","0"
"2","0.1","300","random","0","10","0.1","0.7","31","290","0","30","0","260","0"
"5","0.1","300","random","0","10","0.1","0.7","31","289","0","28","0","261","0"
"8","0.1","300","random","0","10","0.1","0.7","33","295","0","29","0","266","0"
"7","0.1","300","random","0","10","0.1","0.7","28","289","0","29","0","260","0"
"6","0.1","300","random","0","10","0.1","0.7","34","294","0","30","0","264","0"
"1","0.1","300","random","0","10","0.1","0.7","34","285","0","30","0","255","0"
"2","0.1","300","random","0","10","0.1","0.7","32","290","0","30","0","260","0"
"5","0.1","300","random","0","10","0.1","0.7","32","289","0","28","0","261","0"
"3","0.1","300","random","0","10","0.1","0.7","31","286","0","28","0","258","0"
"4","0.1","300","random","0","10","0.1","0.7","32","291","0","30","0","261","0"
"6","0.1","300","random","0","10","0.1","0.7","35","296","0","30","0","266","0"
"1","0.1","300","random","0","10","0.1","0.7","35","287","0","30","0","257","0"
"8","0.1","300","random","0","10","0.1","0.7","34","295","0","29","0","266","0"
"3","0.1","300","random","0","10","0.1","0.7","32","287","0","28","0","259","0"
"4","0.1","300","random","0","10","0.1","0.7","33","292","0","30","0","262","0"
"6","0.1","300","random","0","10","0.1","0.7","36","296","0","30","0","266","0"
"5","0.1","300","random","0","10","0.1","0.7","33","289","0","28","0","261","0"
"1","0.1","300","random","0","10","0.1","0.7","36","288","0","30","0","258","0"
"3","0.1","300","random","0","10","0.1","0.7","33","287","0","28","0","259","0"
"4","0.1","300","random","0","10","0.1","0.7","34","293","0","30","0","263","0"
"6","0.1","300","random","0","10","0.1","0.7","37","296","0","30","0","266","0"
"1","0.1","300","random","0","10","0.1","0.7","37","288","0","30","0","258","0"
"5","0.1","300","random","0","10","0.1","0.7","34","290","0","28","0","262","0"
"8","0.1","300","random","0","10","0.1","0.7","35","295","0","29","0","266","0"
"3","0.1","300","random","0","10","0.1","0.7","34","290","0","28","0","262","0"
"4","0.1","300","random","0","10","0.1","0.7","35","293","0","30","0","263","0"
"6","0.1","300","random","0","10","0.1","0.7","38","297","0","30","0","267","0"
"1","0.1","300","random","0","10","0.1","0.7","38","290","0","30","0","260","0"
"3","0.1","300","random","0","10","0.1","0.7","35","291","0","28","0","263","0"
"5","0.1","300","random","0","10","0.1","0.7","35","291","0","28","0","263","0"
"7","0.1","300","random","0","10","0.1","0.7","29","289","0","29","0","260","0"
"4","0.1","300","random","0","10","0.1","0.7","36","294","0","30","0","264","0"
"8","0.1","300","random","0","10","0.1","0.7","36","297","0","29","0","268","0"
"6","0.1","300","random","0","10","0.1","0.7","39","297","0","30","0","267","0"
"3","0.1","300","random","0","10","0.1","0.7","36","294","0","28","0","266","0"
"1","0.1","300","random","0","10","0.1","0.7","39","292","0","30","0","262","0"
"4","0.1","300","random","0","10","0.1","0.7","37","294","0","30","0","264","0"
"7","0.1","300","random","0","10","0.1","0.7","30","289","0","29","0","260","0"
"8","0.1","300","random","0","10","0.1","0.7","37","297","0","29","0","268","0"
"6","0.1","300","random","0","10","0.1","0.7","40","297","0","30","0","267","0"
"2","0.1","300","random","0","10","0.1","0.7","33","293","0","30","0","263","0"
"1","0.1","300","random","0","10","0.1","0.7","40","292","0","30","0","262","0"
"4","0.1","300","random","0","10","0.1","0.7","38","294","0","30","0","264","0"
"3","0.1","300","random","0","10","0.1","0.7","37","295","0","28","0","267","0"
"7","0.1","300","random","0","10","0.1","0.7","31","290","0","30","0","260","0"
"6","0.1","300","random","0","10","0.1","0.7","41","298","0","30","0","268","0"
"8","0.1","300","random","0","10","0.1","0.7","38","297","0","29","0","268","0"
"4","0.1","300","random","0","10","0.1","0.7","39","294","0","30","0","264","0"
"1","0.1","300","random","0","10","0.1","0.7","41","292","0","30","0","262","0"
"3","0.1","300","random","0","10","0.1","0.7","38","295","0","28","0","267","0"
"2","0.1","300","random","0","10","0.1","0.7","34","294","0","30","0","264","0"
"6","0.1","300","random","0","10","0.1","0.7","42","299","0","30","0","269","0"
"7","0.1","300","random","0","10","0.1","0.7","32","292","0","30","0","262","0"
"8","0.1","300","random","0","10","0.1","0.7","39","297","0","29","0","268","0"
"4","0.1","300","random","0","10","0.1","0.7","40","295","0","30","0","265","0"
"3","0.1","300","random","0","10","0.1","0.7","39","296","0","28","0","268","0"
"1","0.1","300","random","0","10","0.1","0.7","42","292","0","30","0","262","0"
"6","0.1","300","random","0","10","0.1","0.7","43","299","0","30","0","269","0"
"7","0.1","300","random","0","10","0.1","0.7","33","292","0","30","0","262","0"
"2","0.1","300","random","0","10","0.1","0.7","35","295","0","30","0","265","0"
"8","0.1","300","random","0","10","0.1","0.7","40","297","0","29","0","268","0"
"4","0.1","300","random","0","10","0.1","0.7","41","295","0","30","0","265","0"
"3","0.1","300","random","0","10","0.1","0.7","40","297","0","28","0","269","0"
"1","0.1","300","random","0","10","0.1","0.7","43","293","0","30","0","263","0"
"6","0.1","300","random","0","10","0.1","0.7","44","299","0","30","0","269","0"
"7","0.1","300","random","0","10","0.1","0.7","34","294","0","30","0","264","0"
"2","0.1","300","random","0","10","0.1","0.7","36","295","0","30","0","265","0"
"8","0.1","300","random","0","10","0.1","0.7","41","297","0","29","0","268","0"
"4","0.1","300","random","0","10","0.1","0.7","42","295","0","30","0","265","0"
"3","0.1","300","random","0","10","0.1","0.7","41","297","0","28","0","269","0"
"5","0.1","300","random","0","10","0.1","0.7","36","291","0","28","0","263","0"
"6","0.1","300","random","0","10","0.1","0.7","45","299","0","30","0","269","0"
"1","0.1","300","random","0","10","0.1","0.7","44","293","0","30","0","263","0"
"7","0.1","300","random","0","10","0.1","0.7","35","294","0","30","0","264","0"
"8","0.1","300","random","0","10","0.1","0.7","42","297","0","29","0","268","0"
"4","0.1","300","random","0","10","0.1","0.7","43","297","0","30","0","267","0"
"3","0.1","300","random","0","10","0.1","0.7","42","298","0","28","0","270","0"
"5","0.1","300","random","0","10","0.1","0.7","37","292","0","28","0","264","0"
"2","0.1","300","random","0","10","0.1","0.7","37","295","0","30","0","265","0"
"6","0.1","300","random","0","10","0.1","0.7","46","299","0","30","0","269","0"
"7","0.1","300","random","0","10","0.1","0.7","36","296","0","30","0","266","0"
"4","0.1","300","random","0","10","0.1","0.7","44","297","0","30","0","267","0"
"5","0.1","300","random","0","10","0.1","0.7","38","293","0","28","0","265","0"
"2","0.1","300","random","0","10","0.1","0.7","38","295","0","30","0","265","0"
"8","0.1","300","random","0","10","0.1","0.7","43","297","0","29","0","268","0"
"1","0.1","300","random","0","10","0.1","0.7","45","293","0","30","0","263","0"
